"Table 16. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Industrial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Taunton City of,Publicly Owned,59,"14,000","195,463",7.16
Templeton Town of,Publicly Owned,11,"3,173","33,510",9.47
Wakefield Town of,Publicly Owned,165,"6,740","69,236",9.73
Wellesley Town of,Publicly Owned,5,"5,175","63,900",8.10
West Boylston Town of,Publicly Owned,2,383,"4,101",9.34
Western Massachusetts Elec Co,Investor-Owned,808,"52,292","651,501",8.03
Westfield City of,Publicly Owned,117,"10,249","104,396",9.82
 State Total,,"13,145","619,036","7,216,692",8.58
Michigan,,,,,
Alpena Power Co,Investor-Owned,5,"4,298","99,617",4.31
Baraga Village of,Publicly Owned,21,196,"1,938",10.11
Bay City City of,Publicly Owned,49,"2,749","49,145",5.59
Charlevoix City of,Publicly Owned,9,"1,055","16,294",6.47
Chelsea Village of,Publicly Owned,12,"1,624","30,083",5.40
Clinton Village of,Publicly Owned,7,700,"8,570",8.17
Cloverland Electric Co-op,Cooperative,3,"1,583","33,265",4.76
Coldwater Board of Public Util,Publicly Owned,207,"14,731","234,298",6.29
Consumers Energy Company,Investor-Owned,"8,987","619,587","11,453,899",5.41
Croswell City of,Publicly Owned,10,"1,246","19,883",6.27
Crystal Falls City of,Publicly Owned,1,1,13,7.69
Detroit City of,Publicly Owned,8,"1,590","9,477",16.78
Dowagiac City of,Publicly Owned,33,"1,876","35,478",5.29
Eaton Rapids City of,Publicly Owned,16,"2,938","48,759",6.03
Edison Sault Electric Co,Investor-Owned,4,"7,539","196,667",3.83
Escanaba City of,Publicly Owned,20,"2,584","44,796",5.77
Gladstone City of,Publicly Owned,25,443,"8,075",5.49
Grand Haven City of,Publicly Owned,138,"7,499","123,244",6.08
Great Lakes Energy Cooperative,Cooperative,28,"10,266","194,252",5.28
Hart Hydro City of,Publicly Owned,4,562,"8,123",6.92
Hillsdale Board of Public Wks,Publicly Owned,27,"4,423","77,636",5.70
Holland City of,Publicly Owned,132,"23,792","468,807",5.08
Indiana Michigan Power Co,Investor-Owned,"1,127","49,187","1,079,556",4.56
L'Anse Village of,Publicly Owned,8,241,"4,165",5.79
Lansing City of,Publicly Owned,334,"31,772","660,833",4.81
Marshall City of,Publicly Owned,42,"4,879","62,264",7.84
Newberry Water & Light Board,Publicly Owned,14,68,21,323.81
Niles City of,Publicly Owned,18,"1,879","40,138",4.68
Northern States Power Co,Investor-Owned,30,"2,784","47,384",5.88
Norway City of,Publicly Owned,4,217,"3,716",5.84
Paw Paw Village of,Publicly Owned,30,371,"5,552",6.68
Petoskey City of,Publicly Owned,29,650,"9,858",6.59
Portland City of,Publicly Owned,17,596,"8,664",6.88
Presque Isle Elec & Gas Coop,Cooperative,336,"1,631","19,221",8.49
Sebewaing City of,Publicly Owned,6,"1,232","18,621",6.62
South Haven City of,Publicly Owned,27,"2,048","30,014",6.82
St Louis City of,Publicly Owned,2,605,"8,766",6.90
Stephenson City of,Publicly Owned,1,16,160,10.00
Sturgis City of,Publicly Owned,103,"7,618","124,947",6.10
The Detroit Edison Co,Investor-Owned,"1,015","651,804","13,589,485",4.80
The Ontonagon County R E A,Cooperative,31,351,"3,887",9.03
Traverse City City of,Publicly Owned,33,"6,066","115,072",5.27
Tri-County Electric Coop,Cooperative,72,"2,680","34,591",7.75
Upper Peninsula Power Co,Investor-Owned,12,"9,801","227,371",4.31
Wakefield City of,Publicly Owned,39,55,14,392.86
Wisconsin Electric Power Co,Investor-Owned,13,"82,894","2,398,275",3.46
Wisconsin Public Service Corp,Investor-Owned,8,"5,318","179,661",2.96
Wyandotte Municipal Serv Comm,Publicly Owned,125,"11,888","167,734",7.09
Zeeland City of,Publicly Owned,123,"11,123","198,886",5.59
 State Total,,"13,345","1,599,056","32,201,175",4.97
Minnesota,,,,,
Ada City of,Publicly Owned,3,7,185,3.78
Adrian Public Utilities Comm,Publicly Owned,35,287,"4,506",6.37
Agralite Electric Cooperative,Cooperative,3,"1,056","28,347",3.73
Aitkin Public Utilities Comm,Publicly Owned,50,"1,062","15,500",6.85
Alexandria City of,Publicly Owned,72,"5,183","114,493",4.53
Anoka City of,Publicly Owned,18,"5,346","104,955",5.09
Anoka Electric Coop,Cooperative,11,"3,451","72,640",4.75
Austin City of,Publicly Owned,1,"5,189","113,403",4.58
Bagley Public Utilities Comm,Publicly Owned,59,690,"13,374",5.16
Baudette City of,Publicly Owned,1,203,"6,374",3.18
Benson City of,Publicly Owned,47,565,"11,950",4.73
Bigelow City of,Publicly Owned,7,31,389,7.97
Blue Earth City of,Publicly Owned,59,"2,231","33,989",6.56
Brainerd Public Utilities,Publicly Owned,26,"3,059","57,184",5.35
Breckenridge City of,Publicly Owned,21,594,"10,910",5.44
Brewster City of,Publicly Owned,2,96,899,10.68
Brown County Rural Elec Assn,Cooperative,5,986,"21,503",4.59
Brownton City of,Publicly Owned,5,21,250,8.40
Buffalo City of,Publicly Owned,12,664,"15,148",4.38
Buhl City of,Publicly Owned,18,38,648,5.86
Caledonia City of,Publicly Owned,70,556,"9,462",5.88
Chaska City of,Publicly Owned,226,"9,380","172,154",5.45
Cooperative L&P Assn Lake Cnty,Cooperative,1,887,"21,905",4.05
Crow Wing Cooperative Power & Light Comp,Cooperative,84,187,"1,940",9.64
Dakota Electric Assn,Cooperative,321,"20,414","478,464",4.27
Delano Municipal Utilities,Publicly Owned,63,"1,550","25,418",6.10
Detroit Lakes City of,Publicly Owned,106,"3,160","72,591",4.35
East Central Energy,Cooperative,18,"3,844","92,834",4.14
East Grand Forks City of,Publicly Owned,11,"3,423","59,630",5.74
Eitzen City of,Publicly Owned,4,26,341,7.62
Elk River City of,Publicly Owned,216,"4,216","61,590",6.85
Fairfax City of,Publicly Owned,7,110,"2,112",5.21
Fairmont Public Utilities Comm,Publicly Owned,15,"3,477","70,612",4.92
Fosston City of,Publicly Owned,7,360,"6,838",5.26
Freeborn-Mower Coop Services,Cooperative,9,"1,824","50,696",3.60
Glencoe Light & Power Comm,Publicly Owned,2,"1,492","25,647",5.82
Grand Rapids Public Util Comm,Publicly Owned,5,982,"20,466",4.80
Granite Falls City of,Publicly Owned,5,24,540,4.44
Harmony City of,Publicly Owned,9,3,52,5.77
Hibbing Public Utilities Comm,Publicly Owned,10,411,"5,031",8.17
Hutchinson Utilities Comm,Publicly Owned,2,"6,792","150,707",4.51
Interstate Power and Light Co,Investor-Owned,243,"18,677","315,281",5.92
Itasca-Mantrap Co-op Electrical Assn,Cooperative,1,"2,064","52,597",3.92
Jackson City of,Publicly Owned,43,"1,236","23,114",5.35
Kandiyohi Power Cooperative,Cooperative,1,308,"6,067",5.08
Kenyon Municipal Utilities,Publicly Owned,1,266,"3,563",7.47
Lake City City of,Publicly Owned,6,"3,882","82,535",4.70
Lake Country Power,Cooperative,2,"3,448","69,000",5.00
Lake Region Coop Elec Assn,Cooperative,1,88,"2,978",2.96
Le Sueur City of,Publicly Owned,52,"3,799","78,344",4.85
Litchfield Public Utilities,Publicly Owned,15,"1,872","51,514",3.63
Luverne City of,Publicly Owned,69,"1,728","39,287",4.40
Lyon-Lincoln Electric Coop Inc,Cooperative,1,108,"1,707",6.33
Madelia City of,Publicly Owned,9,539,"9,462",5.70
Madison City of,Publicly Owned,16,152,"1,994",7.62
Marshall City of,Publicly Owned,89,"16,708","465,039",3.59
McLeod Cooperative Power Assn,Cooperative,5,"1,792","42,296",4.24
Meeker Coop Light & Power Assn,Cooperative,2,205,"4,915",4.17
Melrose Public Utilities,Publicly Owned,2,"2,312","68,454",3.38
Mille Lacs Electric Coop,Cooperative,52,"2,012","37,133",5.42
Minnesota Power Inc,Investor-Owned,486,"236,430","6,616,799",3.57
Minnesota Valley Coop L&P Assn,Cooperative,2,813,"20,356",3.99
Moorhead City of,Publicly Owned,184,"7,560","180,729",4.18
Mora City of,Publicly Owned,4,"1,104","19,000",5.81
Mountain Iron City of,Publicly Owned,5,86,"1,255",6.85
Mountain Lake City of,Publicly Owned,11,449,"8,513",5.27
New Prague Utilities Comm,Publicly Owned,30,"1,999","33,722",5.93
New Ulm Public Utilities Comm,Publicly Owned,7,"4,802","77,620",6.19
North Branch Water & Light Comm,Publicly Owned,7,286,"4,139",6.91
North Itasca Electric Coop Inc,Cooperative,1,38,569,6.68
Northern States Power Co,Investor-Owned,602,"376,013","9,369,198",4.01
Olivia City of,Publicly Owned,60,698,"9,720",7.18
Otter Tail Power Co,Investor-Owned,9,"15,280","383,160",3.99
Owatonna City of,Publicly Owned,63,"10,906","197,814",5.51
"P K M Electric Coop, Inc",Cooperative,48,502,"6,859",7.32
Pierz City of,Publicly Owned,2,8,109,7.34
Preston Public Utilities Comm,Publicly Owned,13,241,"3,404",7.08
Princeton Public Utils Comm,Publicly Owned,26,864,"12,760",6.77
Proctor Public Utilities Comm,Publicly Owned,1,237,"4,222",5.61
Randall City of,Publicly Owned,1,2,28,7.14
Redwood Falls Public Util Comm,Publicly Owned,64,"1,186","24,597",4.82
Renville-Sibley Coop Pwr Assn,Cooperative,6,"3,510","98,600",3.56
Rochester Public Utilities,Publicly Owned,2,"13,094","243,121",5.39
Round Lake City of,Publicly Owned,1,336,"4,552",7.38
Runestone Electric Assn,Cooperative,4,458,"9,571",4.79
Rushford City of,Publicly Owned,18,312,"5,302",5.88
Rushmore City of,Publicly Owned,2,1,19,5.26
Saint Peter City of,Publicly Owned,3,"1,256","20,666",6.08
Sauk Centre City of,Publicly Owned,68,"1,156","23,887",4.84
Shakopee Public Utilities Comm,Publicly Owned,395,"9,960","195,413",5.10
Shelly City of,Publicly Owned,4,20,236,8.47
Sleepy Eye Public Utility Comm,Publicly Owned,16,999,"16,895",5.91
South Central Electric Assn,Cooperative,2,"1,262","33,935",3.72
Spring Grove City of,Publicly Owned,6,238,"6,207",3.83
Springfield Public Utils Comm,Publicly Owned,40,622,"11,889",5.23
St Charles City of,Publicly Owned,12,563,"9,755",5.77
St James City of,Publicly Owned,1,842,"20,933",4.02
Staples City of,Publicly Owned,7,294,"5,559",5.29
Stearns Cooperative Elec Assn,Cooperative,2,694,"14,838",4.68
Steele-Waseca Cooperative Electric,Cooperative,5,"2,384","54,104",4.41
Thief River Falls City of,Publicly Owned,28,"1,876","36,441",5.15
Todd-Wadena Electric Coop,Cooperative,256,547,"9,640",5.67
"Traverse Electric Coop, Inc",Cooperative,1,188,"4,718",3.98
Tri-County Electric Coop,Cooperative,2,751,"21,128",3.55
Two Harbors City of,Publicly Owned,2,2,231,0.87
Wadena City of,Publicly Owned,96,"1,660","35,928",4.62
Warroad City of,Publicly Owned,15,921,"32,550",2.83
Waseca City of,Publicly Owned,77,"1,609","23,930",6.72
Westbrook City of,Publicly Owned,2,21,321,6.54
"Wild Rice Electric Coop, Inc",Cooperative,1,87,"2,497",3.48
Willmar Municipal Utils Comm,Publicly Owned,31,"6,454","113,647",5.68
Windom City of,Publicly Owned,24,"1,241","27,270",4.55
Winthrop City of,Publicly Owned,1,171,"4,018",4.26
Worthington City of,Publicly Owned,5,"3,456","75,210",4.60
Wright-Hennepin Coop Elec Assn,Cooperative,9,"3,159","66,091",4.78
 State Total,,"5,026","874,721","21,514,632",4.07
Mississippi,,,,,
4-County Electric Power Assn,Cooperative,17,"9,259","179,322",5.16
Aberdeen City of,Publicly Owned,4,"5,879","147,629",3.98
Alcorn County Elec Power Assn,Cooperative,7,"12,031","310,645",3.87
Amory City of,Publicly Owned,3,"2,041","45,260",4.51
Canton Municipal Utilities,Publicly Owned,16,"1,492","28,725",5.19
Central Electric Power Assn,Cooperative,12,"9,955","199,531",4.99
Clarksdale Public Utilities,Publicly Owned,4,"1,817","32,699",5.56
Coahoma Electric Power Assn,Cooperative,3,681,"11,265",6.05
Coast Electric Power Assn,Cooperative,7,"9,099","219,429",4.15
Collins City of,Publicly Owned,17,575,"9,875",5.82
Columbus City of,Publicly Owned,13,"7,723","151,156",5.11
Delta Electric Power Assn,Cooperative,14,"6,037","101,150",5.97
Dixie Electric Power Assn,Cooperative,386,"9,674","157,875",6.13
Durant City of,Publicly Owned,3,459,"1,294",35.47
East Mississippi Elec Pwr Assn,Cooperative,4,"3,708","61,269",6.05
Entergy Mississippi Inc,Investor-Owned,"3,154","164,814","2,910,241",5.66
Greenwood Utilities Comm,Publicly Owned,3,"1,558","30,229",5.15
Holly Springs City of,Publicly Owned,4,"1,443","27,732",5.20
Kosciusko City of,Publicly Owned,16,775,"12,846",6.03
Louisville Electric System,Publicly Owned,3,"3,874","77,282",5.01
Macon City of,Publicly Owned,1,370,"5,479",6.75
Magnolia Electric Power Assn,Cooperative,10,"5,957","119,712",4.98
Mississippi Power Co,Investor-Owned,492,"164,042","4,161,902",3.94
Monroe County Elec Power Assn,Cooperative,2,495,"2,730",18.13
Natchez Trace Elec Power Assn,Cooperative,5,"1,093","17,656",6.19
New Albany City of,Publicly Owned,6,"3,904","68,606",5.69
North East Mississippi E P A,Cooperative,9,"9,252","189,699",4.88
Northcentral Mississippi E P A,Cooperative,32,"15,694","308,789",5.08
Okolona City of,Publicly Owned,1,5,21,23.81
Oxford City of,Publicly Owned,3,"1,068","21,829",4.89
Pearl River Valley El Pwr Assn,Cooperative,22,"7,076","138,057",5.13
Philadelphia City of,Publicly Owned,3,"1,994","38,349",5.20
Pontotoc Electric Power Assn,Cooperative,7,"2,869","62,062",4.62
Prentiss County Elec Pwr Assn,Cooperative,12,"4,753","92,747",5.12
Public Serv Comm of Yazoo City,Publicly Owned,15,846,"12,254",6.90
Singing River Elec Pwr Assn,Cooperative,10,"3,520","66,284",5.31
Southern Pine Elec Pwr Assn,Cooperative,16,"29,222","622,180",4.70
Southwest Mississippi E P A,Cooperative,11,"4,679","80,961",5.78
Starkville City of,Publicly Owned,6,"7,362","168,936",4.36
Tallahatchie Valley E P A,Cooperative,12,"8,965","176,100",5.09
Tennessee Valley Authority,Federal,7,"86,883","3,005,423",2.89
Tippah Electric Power Assn,Cooperative,10,"4,691","80,137",5.85
Tishomingo County E P A,Cooperative,2,"1,329","23,215",5.72
Tombigbee Electric Power Assn,Cooperative,25,"14,826","293,257",5.06
Tupelo City of,Publicly Owned,14,"10,017","213,291",4.70
Twin County Electric Pwr Assn,Cooperative,13,"2,716","30,488",8.91
Water Valley City of,Publicly Owned,2,"2,068","45,209",4.57
West Point City of,Publicly Owned,5,"5,586","112,229",4.98
Yazoo Valley Elec Power Assn,Cooperative,12,"6,668","147,496",4.52
 State Total,,"4,455","660,844","15,020,552",4.40
Missouri,,,,,
Aquila Inc,Investor-Owned,279,"50,543","1,289,371",3.92
"Associated Electric Coop, Inc",Cooperative,1,"38,910","1,698,755",2.29
Atchison-Holt Electric Coop,Cooperative,3,403,"14,456",2.79
Ava City of,Publicly Owned,40,891,"21,943",4.06
Barry Electric Cooperative,Cooperative,1,671,"12,811",5.24
"Barton County Elec Coop, Inc",Cooperative,9,"1,803","31,335",5.75
Black River Electric Coop,Cooperative,3,"2,766","44,000",6.29
Boone Electric Cooperative,Cooperative,9,"1,358","27,100",5.01
Butler City of,Publicly Owned,4,359,"6,789",5.29
Cabool City of,Publicly Owned,9,846,"17,585",4.81
California City of,Publicly Owned,61,724,"10,612",6.82
Carrollton Board of Public Wks,Publicly Owned,162,"1,217","17,590",6.92
Carthage City of,Publicly Owned,22,"4,470","117,378",3.81
Central Missouri Elec Coop Inc,Cooperative,2,"3,248","97,300",3.34
Chillicothe Municipal Utils,Publicly Owned,29,635,"11,269",5.63
Citizens Electric Corporation,Cooperative,94,"28,341","762,287",3.72
Columbia City of,Publicly Owned,25,"12,878","242,780",5.30
Consolidated Electric Coop,Cooperative,66,"2,887","73,434",3.93
"Crawford Electric Coop, Inc",Cooperative,2,282,"4,750",5.94
Cuba City of,Publicly Owned,14,907,"20,843",4.35
El Dorado Springs City of,Publicly Owned,12,858,"15,510",5.53
Empire District Electric Co,Investor-Owned,276,"41,687","847,154",4.92
"Farmers' Electric Coop, Inc",Cooperative,5,"1,404","45,778",3.07
Farmington City of,Publicly Owned,103,"4,845","74,233",6.53
Fredericktown City of,Publicly Owned,39,833,"14,100",5.91
Fulton City of,Publicly Owned,31,"3,628","60,306",6.02
Gascosage Electric Cooperative,Cooperative,1,59,901,6.55
"Grundy Electric Coop, Inc",Cooperative,4,"1,000","18,970",5.27
Hannibal City of,Publicly Owned,122,"5,914","125,666",4.71
Hermann City of,Publicly Owned,12,"1,277","26,584",4.80
Higginsville City of,Publicly Owned,55,"1,262","27,092",4.66
Houston City of,Publicly Owned,4,61,680,8.97
"Howell-Oregon Elec Coop, Inc",Cooperative,86,"2,145","37,556",5.71
Independence City of,Publicly Owned,13,"2,172","42,154",5.15
Intercounty Electric Coop Assn,Cooperative,4,935,"18,317",5.10
Jackson City of,Publicly Owned,5,"1,283","24,154",5.31
Kahoka City of,Publicly Owned,5,134,"2,384",5.62
Kansas City Power & Light Co,Investor-Owned,"1,221","73,171","1,593,063",4.59
Kennett City of,Publicly Owned,8,"1,012","23,899",4.23
Kirkwood City of,Publicly Owned,3,"1,211","25,918",4.67
La Plata City of,Publicly Owned,1,295,"6,280",4.70
"Laclede Electric Coop, Inc",Cooperative,8,"2,040","40,802",5.00
Lebanon City of,Publicly Owned,61,"7,288","138,042",5.28
Lockwood Water & Light Company,Publicly Owned,5,54,778,6.94
Macon City of,Publicly Owned,13,"1,481","18,719",7.91
Macon Electric Cooperative,Cooperative,3,660,"16,868",3.91
Malden City of,Publicly Owned,13,"1,202","23,796",5.05
Mansfield City of,Publicly Owned,1,582,"9,806",5.94
Marceline City of,Publicly Owned,20,591,"9,300",6.35
Marshall City of,Publicly Owned,7,"3,041","61,282",4.96
Milan City of,Publicly Owned,1,706,"20,156",3.50
Missouri Rural Electric Coop,Cooperative,4,"5,897","187,029",3.15
Monett City of,Publicly Owned,47,"6,146","116,689",5.27
Monroe City City of,Publicly Owned,3,"1,358","30,871",4.40
Mount Vernon City of,Publicly Owned,19,"1,342","25,170",5.33
Mountain View City of,Publicly Owned,1,239,"5,628",4.25
New Madrid City of,Publicly Owned,8,397,"7,918",5.01
Nixa City of,Publicly Owned,76,"2,201","34,208",6.43
Odessa City of,Publicly Owned,39,941,"14,112",6.67
Owensville City of,Publicly Owned,100,579,"9,944",5.82
Ozark Border Electric Coop,Cooperative,4,670,"15,018",4.46
Ozark Electric Cooperative Inc,Cooperative,1,90,"1,982",4.54
Palmyra City of,Publicly Owned,3,578,"11,411",5.07
Paris City of,Publicly Owned,2,3,35,8.57
Pemiscot-Dunklin Elec Coop Inc,Cooperative,6,"1,459","26,668",5.47
"Platte-Clay Electric Coop, Inc",Cooperative,5,850,"21,553",3.94
Poplar Bluff City of,Publicly Owned,21,"3,343","85,380",3.92
Ralls County Electric Coop,Cooperative,1,435,"11,418",3.81
Rolla City of,Publicly Owned,156,"8,481","165,797",5.12
"Sac-Osage Electric Cooperative, Inc",Cooperative,4,7,138,5.07
Salisbury City of,Publicly Owned,22,321,"4,835",6.64
SE-MA-NO Electric Cooperative,Cooperative,1,257,"5,138",5.00
SEMO Electric Cooperative,Cooperative,27,"1,793","29,524",6.07
Seymour City of,Publicly Owned,2,144,"2,440",5.90
Shelbina City of,Publicly Owned,6,"1,098","19,777",5.55
Sikeston City of,Publicly Owned,18,"2,814","83,523",3.37
Slater City of,Publicly Owned,4,278,"5,665",4.91
Springfield City of,Publicly Owned,138,"16,321","451,887",3.61
St James City of,Publicly Owned,11,266,"5,377",4.95
Steelville City of,Publicly Owned,10,230,"4,459",5.16
Sullivan City of,Publicly Owned,104,"2,991","51,000",5.86
Thayer City of,Publicly Owned,4,209,"3,351",6.24
Three Rivers Electric Coop,Cooperative,9,"2,055","43,217",4.76
Trenton Municipal Utilities,Publicly Owned,1,999,"20,920",4.78
Union Electric Co,Investor-Owned,"5,396","287,736","5,798,346",4.96
Unionville City of,Publicly Owned,12,231,"4,342",5.32
Vandalia City of,Publicly Owned,2,86,822,10.46
Webster Electric Cooperative,Cooperative,1,226,"4,621",4.89
West Central Electric Coop Inc,Cooperative,2,75,"1,685",4.45
West Plains City of,Publicly Owned,355,"5,711","86,876",6.57
White River Valley El Coop Inc,Cooperative,8,"2,205","43,183",5.11
Willow Springs City of,Publicly Owned,23,311,"4,837",6.43
Winona City of,Publicly Owned,7,158,"2,007",7.87
 State Total,,"9,640","678,501","15,341,437",4.42
Montana,,,,,
"Big Flat Electric Coop, Inc",Cooperative,6,230,"2,123",10.83
Black Hills Power Inc,Investor-Owned,2,573,"12,816",4.47
Bonneville Power Admin,Federal,1,"1,383","46,200",2.99
Flathead Electric Coop Inc,Cooperative,14,"24,427","437,179",5.59
"Glacier Electric Coop, Inc",Cooperative,5,"1,317","25,562",5.15
"Hill County Electric Coop, Inc",Cooperative,2,"1,296","41,059",3.16
"Hinson Power Company, L.L.C.",Power Marketer,1,"30,157","1,139,849",2.65
"Lincoln Electric Coop, Inc",Cooperative,9,"1,654","34,434",4.80
"Lower Yellowstone R E A, Inc",Cooperative,245,"1,725","18,294",9.43
"McCone Electric Co-op, Inc",Cooperative,62,92,"1,055",8.72
MDU Resources Group Inc,Investor-Owned,135,"8,854","202,497",4.37
Mission Valley Power,Federal,1,801,"19,625",4.08
"Missoula Electric Coop, Inc",Cooperative,4,671,"13,302",5.04
"Northern Lights, Inc",Cooperative,3,474,"4,765",9.95
NorthWestern Energy LLC,Investor-Owned,28,"18,635","419,587",4.44
"Park Electric Cooperative, Inc",Cooperative,1,"2,034","42,221",4.82
"Ravalli County Elec Coop, Inc",Cooperative,1,169,"3,384",4.99
"Southeast Electric Coop, Inc",Cooperative,1,291,"5,077",5.73
Tongue River Electric Coop Inc,Cooperative,41,840,"15,103",5.56
Troy City of,Publicly Owned,6,5,69,7.25
Yellowstone Valley Elec Co-op,Cooperative,94,916,"13,585",6.74
 State Total,,662,"96,544","2,497,786",3.87
Nebraska,,,,,
Alliance City of,Publicly Owned,11,"1,722","27,168",6.34
Auburn Board of Public Works,Publicly Owned,12,800,"17,335",4.61
Battle Creek City of,Publicly Owned,6,164,"1,973",8.31
Bayard City of,Publicly Owned,5,192,"2,850",6.74
Beatrice City of,Publicly Owned,156,"4,665","83,327",5.60
Blue Hill City of,Publicly Owned,2,40,648,6.17
Bradshaw Village of,Publicly Owned,5,57,"1,027",5.55
Broken Bow City of,Publicly Owned,3,907,"23,209",3.91
Burt County Public Power Dist,Publicly Owned,24,602,"9,207",6.54
Burwell City of,Publicly Owned,1,28,551,5.08
Butler County Rural P P D,Publicly Owned,809,"1,618","17,425",9.29
Campbell Village of,Publicly Owned,2,5,83,6.02
Cedar-Knox Public Power Dist,Publicly Owned,132,176,"2,967",5.93
Central City City of,Publicly Owned,12,478,"6,620",7.22
Cornhusker Public Power Dist,Publicly Owned,7,"2,156","52,249",4.13
Cozad Board of Public Works,Publicly Owned,3,"1,432","37,567",3.81
Crete City of,Publicly Owned,3,"2,594","62,483",4.15
Cuming County Public Pwr Dist,Publicly Owned,249,"1,369","25,900",5.29
Curtis City of,Publicly Owned,11,199,"3,693",5.39
David City City of,Publicly Owned,32,899,"14,355",6.26
Dawson County Public Pwr Dist,Publicly Owned,3,421,"10,808",3.90
De Witt Village of,Publicly Owned,1,827,"16,273",5.08
Edgar City of,Publicly Owned,9,67,733,9.14
Elkhorn Rural Public Pwr Dist,Publicly Owned,24,"1,093","20,583",5.31
Fairbury City of,Publicly Owned,18,"1,122","27,714",4.05
Falls City City of,Publicly Owned,16,592,"12,149",4.87
Fremont City of,Publicly Owned,479,"8,621","208,997",4.12
Gering City of,Publicly Owned,39,"1,291","21,246",6.08
Giltner City of,Publicly Owned,5,96,847,11.33
Gothenburg City of,Publicly Owned,15,"1,295","25,108",5.16
Grand Island City of,Publicly Owned,76,"10,508","277,933",3.78
Grant City of,Publicly Owned,9,160,"2,000",8.00
Hastings City of,Publicly Owned,76,"9,077","244,768",3.71
Hickman City of,Publicly Owned,1,19,482,3.94
"High West Energy, Inc",Cooperative,557,"2,126","41,316",5.15
Highline Electric Assn,Cooperative,"1,070","6,161","89,226",6.90
Holdrege City of,Publicly Owned,2,"2,133","60,526",3.52
Howard Greeley Rural P P D,Publicly Owned,634,"1,199","16,100",7.45
Hubbell City of,Publicly Owned,2,7,101,6.93
Imperial City of,Publicly Owned,35,371,"6,997",5.30
Kimball City of,Publicly Owned,13,260,"4,249",6.12
Lexington City of,Publicly Owned,2,"2,848","73,443",3.88
Lincoln Electric System,Publicly Owned,235,"21,518","542,708",3.96
Loup River Public Power Dist,Publicly Owned,33,"18,800","585,688",3.21
Lyman Village of,Publicly Owned,18,165,"3,176",5.20
Madison City of,Publicly Owned,2,"1,880","44,215",4.25
McCook Public Power District,Publicly Owned,2,"2,843","86,875",3.27
Midwest Electric Member Corp,Cooperative,"1,380","10,412","137,000",7.60
Mitchell City of,Publicly Owned,1,50,661,7.56
Morrill Village of,Publicly Owned,7,216,"2,994",7.21
Nebraska City City of,Publicly Owned,23,"3,240","64,258",5.04
Nebraska Public Power District,Publicly Owned,55,"35,520","1,110,503",3.20
Niobrara Valley El Member Corp,Cooperative,761,"3,386","52,652",6.43
Norris Public Power District,Publicly Owned,55,"9,607","229,542",4.19
Northeast Nebraska P P D,Publicly Owned,38,"1,550","26,529",5.84
Northwest Rural Pub Pwr Dist,Publicly Owned,514,"3,292","47,808",6.89
Omaha Public Power District,Publicly Owned,117,"76,000","2,289,572",3.32
Perennial Public Power Dist,Publicly Owned,"1,656","5,978","123,585",4.84
Pierce City of,Publicly Owned,12,12,200,6.00
Plainview City of,Publicly Owned,1,6,100,6.00
Polk County Rural Pub Pwr Dist,Publicly Owned,1,670,893,75.03
Polk Village of,Publicly Owned,1,63,885,7.12
Randolph City of,Publicly Owned,3,9,87,10.34
Red Cloud City of,Publicly Owned,12,10,141,7.09
Roosevelt Public Power Dist,Publicly Owned,404,746,"12,140",6.14
Schuyler City of,Publicly Owned,139,"3,557","90,881",3.91
Scribner City of,Publicly Owned,1,16,301,5.32
Seward City of,Publicly Owned,3,970,"20,881",4.65
Seward County Rrl Pub Pwr Dist,Publicly Owned,1,177,"3,662",4.83
Sidney City of,Publicly Owned,40,733,"18,653",3.93
Snyder City of,Publicly Owned,4,212,"3,279",6.47
South Central Public Pwr Dist,Publicly Owned,7,"1,183","23,797",4.97
Southern Public Power District,Publicly Owned,239,"14,110","357,979",3.94
Southwest Public Power Dist,Publicly Owned,13,457,"8,917",5.13
St Paul City of,Publicly Owned,12,292,"4,918",5.94
Stanton County Public Pwr Dist,Publicly Owned,1,248,"3,878",6.40
Stromsburg City of,Publicly Owned,7,149,"2,419",6.16
Superior City of,Publicly Owned,13,146,"2,823",5.17
Syracuse City of,Publicly Owned,16,209,"4,912",4.25
Tecumseh City of,Publicly Owned,4,279,"5,566",5.01
Wahoo Utilities City of,Publicly Owned,27,930,"20,837",4.46
Wakefield City of,Publicly Owned,1,"1,087","27,910",3.89
Wauneta Village of,Publicly Owned,19,27,400,6.75
Wayne City of,Publicly Owned,42,21,416,5.05
West Point City of,Publicly Owned,68,"1,283","25,312",5.07
Wheat Belt Public Power Dist,Publicly Owned,7,806,"11,802",6.83
Wilber City of,Publicly Owned,6,18,240,7.50
Wisner City of,Publicly Owned,2,70,746,9.38
Y-W Electric Assn Inc,Cooperative,68,579,"8,477",6.83
 State Total,,"10,642","293,929","7,563,454",3.89
Nevada,,,,,
Caliente City of,Publicly Owned,3,13,186,6.99
Colorado River Comm of Nevada,Publicly Owned,5,"16,401","754,793",2.17
Fallon City of,Publicly Owned,1,217,"2,280",9.52
"Harney Electric Coop, Inc",Cooperative,188,404,"7,690",5.25
