"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                 Average Revenue per Kilowatthour for the Residential Sector by State,,,,,
"                 Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Mindenmines City of,Publicly Owned,149,165,"1,763",9.36
Missouri Rural Electric Coop,Cooperative,"4,314","3,797","53,529",7.09
Monett City of,Publicly Owned,"3,512","2,175","35,259",6.17
Monroe City City of,Publicly Owned,"1,146",774,"12,281",6.30
Mount Vernon City of,Publicly Owned,"1,740","1,085","17,128",6.33
Mountain View City of,Publicly Owned,"1,170",957,"15,090",6.34
New Madrid City of,Publicly Owned,"1,492","1,007","25,745",3.91
Newburg City of,Publicly Owned,236,269,"3,542",7.59
"New-Mac Electric Coop, Inc",Cooperative,"15,126","17,803","225,530",7.89
Nixa City of,Publicly Owned,"5,613","3,044","55,007",5.53
North Central MO Elec Coop Inc,Cooperative,"4,278","3,935","42,378",9.29
Odessa City of,Publicly Owned,"1,862","1,781","22,224",8.01
Osage Valley Elec Coop Assn,Cooperative,"13,877","15,164","214,294",7.08
Osceola City of,Publicly Owned,364,248,"3,085",8.04
Owensville City of,Publicly Owned,"1,180",910,"12,838",7.09
Ozark Border Electric Coop,Cooperative,"30,514","27,084","450,429",6.01
Ozark Electric Cooperative Inc,Cooperative,"25,186","25,430","338,494",7.51
Palmyra City of,Publicly Owned,"1,482","1,192","15,431",7.72
Paris City of,Publicly Owned,625,546,"6,748",8.09
Pemiscot-Dunklin Elec Coop Inc,Cooperative,"4,440","4,942","72,994",6.77
Perry City of,Publicly Owned,302,242,"3,654",6.62
"Platte-Clay Electric Coop, Inc",Cooperative,"16,726","20,524","270,543",7.59
Poplar Bluff City of,Publicly Owned,"7,853","5,080","113,749",4.47
Ralls County Electric Coop,Cooperative,"4,880","5,022","56,039",8.96
Rich Hill City of,Publicly Owned,659,578,"5,790",9.98
Richland City of,Publicly Owned,907,625,"8,533",7.32
Rockport City of,Publicly Owned,668,601,"8,104",7.42
Rolla City of,Publicly Owned,"6,643","4,832","87,880",5.50
"Sac-Osage Electric Cooperative, Inc",Cooperative,"9,130","8,438","113,831",7.41
Salem City of,Publicly Owned,"2,061","1,418","19,748",7.18
Salisbury City of,Publicly Owned,847,628,"11,066",5.68
SE-MA-NO Electric Cooperative,Cooperative,"4,882","4,328","64,618",6.70
SEMO Electric Cooperative,Cooperative,"10,725","10,690","163,306",6.55
Seymour City of,Publicly Owned,601,437,"6,242",7.00
Shelbina City of,Publicly Owned,887,674,"9,923",6.79
Sikeston City of,Publicly Owned,"7,423","5,283","107,505",4.91
Slater City of,Publicly Owned,960,635,"8,984",7.07
"Southwest Electric Coop, Inc",Cooperative,"32,202","26,926","401,085",6.71
Springfield City of,Publicly Owned,"82,433","47,644","887,043",5.37
St James City of,Publicly Owned,"1,692","1,342","20,227",6.63
St Robert City of,Publicly Owned,"1,250",799,"12,115",6.60
Stanberry City of,Publicly Owned,597,484,"6,290",7.69
Steelville City of,Publicly Owned,794,549,"7,346",7.47
Sullivan City of,Publicly Owned,"2,918","2,668","39,000",6.84
Thayer City of,Publicly Owned,742,603,"7,792",7.74
Three Rivers Electric Coop,Cooperative,"18,416","17,482","250,567",6.98
Trenton Municipal Utilities,Publicly Owned,"2,731","2,123","31,019",6.84
Tri-County Electric Coop Assn,Cooperative,"5,741","5,322","69,776",7.63
Union Electric Co,Investor-Owned,"1,015,775","931,132","12,864,857",7.24
Unionville City of,Publicly Owned,"1,080",560,"8,830",6.34
"United Electric Coop, Inc",Cooperative,"8,666","9,686","115,779",8.37
Vandalia City of,Publicly Owned,"1,480","1,196","13,128",9.11
Waynesville City of,Publicly Owned,"1,421","1,125","18,975",5.93
Webster Electric Cooperative,Cooperative,"14,850","12,797","205,162",6.24
West Central Electric Coop Inc,Cooperative,"12,848","13,930","203,120",6.86
West Plains City of,Publicly Owned,"4,379","3,515","52,454",6.70
White River Valley El Coop Inc,Cooperative,"32,138","30,807","384,166",8.02
Willow Springs City of,Publicly Owned,872,655,"8,711",7.52
Winona City of,Publicly Owned,641,465,"7,747",6.00
 State Total,,"2,527,727","2,238,090","31,684,209",7.06
Montana,,,,,
Avista Corp,Investor-Owned,11,7,142,4.93
"Beartooth Electric Coop, Inc",Cooperative,"4,571","3,989","46,544",8.57
"Big Flat Electric Coop, Inc",Cooperative,"1,458","1,433","17,382",8.24
"Big Horn County Elec Coop, Inc",Cooperative,"2,905","2,547","31,401",8.11
Big Horn Rural Electric Co,Cooperative,26,26,346,7.51
Black Hills Power Inc,Investor-Owned,11,5,75,6.67
Fall River Rural Elec Coop Inc,Cooperative,"1,250","1,223","14,080",8.69
"Fergus Electric Coop, Inc",Cooperative,"5,160","4,899","54,708",8.95
Flathead Electric Coop Inc,Cooperative,"43,417","43,317","528,966",8.19
"Glacier Electric Coop, Inc",Cooperative,"5,395","5,431","61,913",8.77
"Goldenwest Electric Coop, Inc",Cooperative,456,370,"4,378",8.45
"Grand Electric Coop, Inc",Cooperative,14,7,105,6.67
"Hill County Electric Coop, Inc",Cooperative,"3,154","2,969","32,741",9.07
"Lincoln Electric Coop, Inc",Cooperative,"3,571","2,829","53,689",5.27
"Lower Yellowstone R E A, Inc",Cooperative,"1,652","1,804","24,347",7.41
Marias River Electric Coop Inc,Cooperative,"2,524","1,538","31,287",4.92
"McCone Electric Co-op, Inc",Cooperative,"4,269","3,653","39,080",9.35
McKenzie Electric Coop Inc,Cooperative,105,42,525,8.00
MDU Resources Group Inc,Investor-Owned,"18,635","10,871","148,311",7.33
"Mid-Yellowstone Elec Coop, Inc",Cooperative,"1,571","1,313","16,712",7.86
Mission Valley Power,Federal,"12,706","9,319","182,102",5.12
"Missoula Electric Coop, Inc",Cooperative,"10,740","7,944","124,472",6.38
"Northern Electric Coop, Inc",Cooperative,948,"1,249","15,762",7.92
"Northern Lights, Inc",Cooperative,"2,994","2,746","31,613",8.69
NorthWestern Energy LLC,Investor-Owned,"240,702","142,881","2,028,621",7.04
"Park Electric Cooperative, Inc",Cooperative,"4,372","4,136","50,275",8.23
Powder River Energy Corp,Cooperative,89,47,614,7.65
"Ravalli County Elec Coop, Inc",Cooperative,"7,551","6,765","98,855",6.84
"Sheridan Electric Coop, Inc",Cooperative,"2,433","1,938","28,000",6.92
"Southeast Electric Coop, Inc",Cooperative,"1,861","1,539","14,050",10.95
"Sun River Electric Coop, Inc",Cooperative,"3,738","3,681","44,098",8.35
Tongue River Electric Coop Inc,Cooperative,"3,549","3,366","51,053",6.59
Troy City of,Publicly Owned,759,512,"9,592",5.34
"Valley Electric Coop, Inc",Cooperative,"1,560","1,472","16,458",8.94
"Vigilante Electric Coop, Inc",Cooperative,"6,457","4,857","76,827",6.32
Yellowstone Valley Elec Co-op,Cooperative,"12,559","10,614","150,464",7.05
 State Total,,"413,173","291,339","4,029,588",7.23
Nebraska,,,,,
Alliance City of,Publicly Owned,"4,140","2,627","40,365",6.51
Ansley City of,Publicly Owned,273,152,"2,275",6.68
Arapahoe City of,Publicly Owned,510,458,"4,742",9.66
Arnold Village of,Publicly Owned,360,220,"3,991",5.51
Auburn Board of Public Works,Publicly Owned,"2,175","1,344","25,862",5.20
Bartley Village of,Publicly Owned,189,226,"2,500",9.04
Battle Creek City of,Publicly Owned,470,441,"6,072",7.26
Bayard City of,Publicly Owned,534,293,"4,640",6.31
Beatrice City of,Publicly Owned,"5,841","4,055","63,711",6.36
Beaver City City of,Publicly Owned,359,450,"5,883",7.65
Benkelman City of,Publicly Owned,484,325,"4,416",7.36
Blue Hill City of,Publicly Owned,349,249,"4,096",6.08
Bradshaw Village of,Publicly Owned,159,102,"1,478",6.90
Brainard Village of,Publicly Owned,220,176,"2,361",7.45
Bridgeport Utilities City of,Publicly Owned,783,361,"7,310",4.94
Broken Bow City of,Publicly Owned,"1,833",990,"20,082",4.93
Burt County Public Power Dist,Publicly Owned,"3,391","4,473","56,757",7.88
Burwell City of,Publicly Owned,582,362,"5,688",6.36
Butler County Rural P P D,Publicly Owned,"4,686","4,358","61,811",7.05
Callaway Village of,Publicly Owned,325,266,"4,126",6.45
Cambridge City of,Publicly Owned,503,404,"5,080",7.95
Campbell Village of,Publicly Owned,187,125,"1,597",7.83
Cedar-Knox Public Power Dist,Publicly Owned,"4,579","5,002","87,008",5.75
Central City City of,Publicly Owned,"1,392","1,095","15,459",7.08
Chappell City of,Publicly Owned,514,242,"4,465",5.42
"Cherry-Todd Electric Coop, Inc",Cooperative,310,418,"6,723",6.22
Chester Village of,Publicly Owned,156,105,"1,307",8.03
Chimney Rock Public Power Dist,Publicly Owned,"1,865","1,784","23,541",7.58
Clarkson City of,Publicly Owned,327,240,"4,297",5.59
Cornhusker Public Power Dist,Publicly Owned,"5,299","7,832","121,253",6.46
Cozad Board of Public Works,Publicly Owned,"1,780","1,262","17,890",7.05
Crete City of,Publicly Owned,"2,235","1,186","24,729",4.80
Cuming County Public Pwr Dist,Publicly Owned,"3,038","4,026","65,400",6.16
Curtis City of,Publicly Owned,519,371,"5,625",6.60
Custer Public Power District,Publicly Owned,"4,337","4,674","68,006",6.87
Davenport Village of,Publicly Owned,175,149,"1,997",7.46
David City City of,Publicly Owned,"1,146",867,"15,269",5.68
Dawson County Public Pwr Dist,Publicly Owned,"14,375","12,520","212,636",5.89
De Witt Village of,Publicly Owned,277,247,"3,758",6.57
Decatur Village of,Publicly Owned,327,272,"2,416",11.26
Deshler City of,Publicly Owned,408,320,"4,490",7.13
Dorchester Village of,Publicly Owned,257,193,"3,064",6.30
Edgar City of,Publicly Owned,254,199,"2,544",7.82
Elk Creek Village of,Publicly Owned,68,44,614,7.17
Elkhorn Rural Public Pwr Dist,Publicly Owned,"5,661","6,160","97,061",6.35
Emerson City of,Publicly Owned,349,236,"3,340",7.07
Endicott Village of,Publicly Owned,78,45,782,5.75
Fairbury City of,Publicly Owned,"2,771","1,982","33,889",5.85
Fairmont Village of,Publicly Owned,283,193,"2,700",7.15
Falls City City of,Publicly Owned,"2,233","1,293","22,582",5.73
Franklin City of,Publicly Owned,601,410,"4,503",9.11
Fremont City of,Publicly Owned,"11,547","6,262","132,836",4.71
Friend City of,Publicly Owned,516,424,"5,750",7.37
Gering City of,Publicly Owned,"3,184","2,045","28,186",7.26
Giltner City of,Publicly Owned,169,156,"2,303",6.77
Gothenburg City of,Publicly Owned,"1,455",908,"16,893",5.38
Grand Island City of,Publicly Owned,"18,841","10,559","187,349",5.64
Grant City of,Publicly Owned,608,376,"7,000",5.37
Greenwood Village of,Publicly Owned,251,177,"2,565",6.90
Hampton Village of,Publicly Owned,198,163,"2,270",7.18
Hastings City of,Publicly Owned,"10,325","6,665","102,475",6.50
Hebron City of,Publicly Owned,761,582,"8,650",6.73
Hemingford Village of,Publicly Owned,388,283,"3,546",7.98
Hickman City of,Publicly Owned,448,433,"6,089",7.11
"High West Energy, Inc",Cooperative,"1,671","1,194","17,172",6.95
Highline Electric Assn,Cooperative,760,547,"8,019",6.82
Hildreth Village of,Publicly Owned,245,149,"2,993",4.98
Holbrook Village of,Publicly Owned,166,167,"1,782",9.37
Holdrege City of,Publicly Owned,"2,756","1,558","27,109",5.75
Howard Greeley Rural P P D,Publicly Owned,"3,427","3,027","47,559",6.36
Hubbell City of,Publicly Owned,45,18,238,7.56
Imperial City of,Publicly Owned,879,579,"11,078",5.23
Indianola City of,Publicly Owned,340,254,"2,771",9.17
KBR Rural Public Power District,Publicly Owned,"3,019","2,727","32,495",8.39
Kimball City of,Publicly Owned,"1,275",687,"9,884",6.95
"LaCreek Electric Assn, Inc",Cooperative,152,140,"2,092",6.69
Laurel City of,Publicly Owned,455,291,"4,779",6.09
Leigh Village of,Publicly Owned,299,378,"4,601",8.22
Lexington City of,Publicly Owned,"3,284","2,473","41,638",5.94
Lincoln Electric System,Publicly Owned,"100,442","64,165","1,057,046",6.07
Lodgepole City of,Publicly Owned,188,109,"1,393",7.82
Loup River Public Power Dist,Publicly Owned,"14,000","11,236","221,889",5.06
Loup Valleys Rural P P D,Publicly Owned,"2,360","2,203","36,120",6.10
Lyman Village of,Publicly Owned,179,106,"1,531",6.92
Lyons City of,Publicly Owned,490,327,"4,488",7.29
Madison City of,Publicly Owned,828,579,"9,526",6.08
McCook Public Power District,Publicly Owned,"3,401","2,928","34,040",8.60
Midwest Electric Member Corp,Cooperative,"3,039","2,618","34,000",7.70
Minden City of,Publicly Owned,"1,277","1,069","14,108",7.58
Mitchell City of,Publicly Owned,757,517,"8,015",6.45
Morrill Village of,Publicly Owned,697,483,"6,787",7.12
Mullen Village of,Publicly Owned,314,211,"3,350",6.30
Nebraska City City of,Publicly Owned,"4,610","3,400","52,276",6.50
Nebraska Public Power District,Publicly Owned,"68,402","69,747","784,530",8.89
Neligh City of,Publicly Owned,754,688,"9,114",7.55
Nelson City of,Publicly Owned,290,230,"2,920",7.88
"Niobrara Electric Assn, Inc",Cooperative,478,420,"4,472",9.39
Niobrara Valley El Member Corp,Cooperative,"4,389","3,604","48,989",7.36
Norris Public Power District,Publicly Owned,"12,883","15,658","232,297",6.74
North Central Public Pwr Dist,Publicly Owned,"3,565","3,148","46,719",6.74
North Platte City of,Publicly Owned,"10,696","6,863","109,396",6.27
Northeast Nebraska P P D,Publicly Owned,"6,969","7,384","107,746",6.85
Northwest Rural Pub Pwr Dist,Publicly Owned,"1,543","1,979","22,213",8.91
Omaha Public Power District,Publicly Owned,"266,464","213,445","3,136,085",6.81
Ord City of,Publicly Owned,"1,120",753,"14,001",5.38
Oxford Village of,Publicly Owned,419,254,"3,962",6.41
Panama Village of,Publicly Owned,106,95,"1,655",5.74
Panhandle Rural El Member Assn,Cooperative,"1,829","2,252","30,515",7.38
Pender City of,Publicly Owned,500,312,"5,154",6.05
Perennial Public Power Dist,Publicly Owned,"4,571","6,052","87,485",6.92
Pierce City of,Publicly Owned,969,"1,037","16,050",6.46
Plainview City of,Publicly Owned,671,476,"5,928",8.03
Polk County Rural Pub Pwr Dist,Publicly Owned,"2,696","2,832","39,402",7.19
Polk Village of,Publicly Owned,203,131,"1,350",9.70
Prague Village of,Publicly Owned,153,138,"1,997",6.91
Randolph City of,Publicly Owned,467,320,"3,974",8.05
Red Cloud City of,Publicly Owned,676,455,"5,104",8.91
Reynolds Village of,Publicly Owned,58,46,421,10.93
Roosevelt Public Power Dist,Publicly Owned,"1,844","1,861","29,607",6.29
Sargent City of,Publicly Owned,358,196,"2,941",6.66
Schuyler City of,Publicly Owned,"2,057","1,504","28,263",5.32
Scribner City of,Publicly Owned,437,395,"5,011",7.88
Seward City of,Publicly Owned,"2,263","1,639","25,689",6.38
Seward County Rrl Pub Pwr Dist,Publicly Owned,"2,975","3,703","50,655",7.31
Shickley Village of,Publicly Owned,181,157,"2,258",6.95
Sidney City of,Publicly Owned,"3,618","1,531","18,184",8.42
Snyder City of,Publicly Owned,159,131,"2,175",6.02
South Central Public Pwr Dist,Publicly Owned,"3,804","3,842","63,824",6.02
South Sioux City City of,Publicly Owned,"4,613","3,614","50,191",7.20
Southern Public Power District,Publicly Owned,"14,765","13,897","228,488",6.08
Southwest Public Power Dist,Publicly Owned,"2,279","2,298","34,298",6.70
Spalding Village of,Publicly Owned,285,220,"4,654",4.73
Spencer City of,Publicly Owned,275,245,"4,189",5.85
St Paul City of,Publicly Owned,985,786,"9,766",8.05
Stanton County Public Pwr Dist,Publicly Owned,"1,866","2,145","29,503",7.27
Stratton City of,Publicly Owned,213,193,"2,193",8.80
Stromsburg City of,Publicly Owned,506,397,"5,835",6.80
Stuart City of,Publicly Owned,271,272,"3,237",8.40
Superior City of,Publicly Owned,"1,112",843,"9,866",8.54
Sutton City of,Publicly Owned,676,497,"6,593",7.54
Syracuse City of,Publicly Owned,958,621,"8,982",6.91
Talmage Village of,Publicly Owned,118,98,"1,410",6.95
Tecumseh City of,Publicly Owned,852,548,"8,134",6.74
Trenton City of,Publicly Owned,340,248,"2,891",8.58
Twin Valleys Public Power Dist,Publicly Owned,"4,205","3,176","37,636",8.44
Valentine City of,Publicly Owned,"1,531","1,287","25,538",5.04
Wahoo Utilities City of,Publicly Owned,"1,710","1,123","18,813",5.97
Wakefield City of,Publicly Owned,541,297,"5,090",5.83
Walthill Village of,Publicly Owned,283,219,"2,988",7.33
Wauneta Village of,Publicly Owned,333,255,"4,412",5.78
Wayne City of,Publicly Owned,"1,985","1,333","17,765",7.50
West Point City of,Publicly Owned,"1,487",821,"14,851",5.53
Wheat Belt Public Power Dist,Publicly Owned,"3,415","2,779","33,486",8.30
Wilber City of,Publicly Owned,799,504,"8,961",5.62
Wilcox Village of,Publicly Owned,174,145,"2,058",7.05
Winside Village of,Publicly Owned,266,180,"3,155",5.71
Wisner City of,Publicly Owned,627,478,"8,370",5.71
Wood River City of,Publicly Owned,430,355,"5,753",6.17
Wymore City of,Publicly Owned,740,537,"7,344",7.31
Wyrulec Company,Cooperative,258,214,"2,619",8.17
 State Total,,"741,478","602,900","8,956,037",6.73
Nevada,,,,,
Alamo Power District No 3,Publicly Owned,535,479,"6,753",7.09
Boulder City City of,Publicly Owned,"6,530","4,195","101,903",4.12
Caliente City of,Publicly Owned,549,364,"5,660",6.43
Fallon City of,Publicly Owned,"3,507","2,286","20,302",11.26
Farmer's Mutual Power Assn,Cooperative,8,12,261,4.60
"Harney Electric Coop, Inc",Cooperative,657,583,"11,064",5.27
Lincoln County Power Dist No 1,Publicly Owned,671,377,"8,975",4.20
"Mt Wheeler Power, Inc",Cooperative,"4,511","3,738","51,703",7.23
Nevada Power Company,Investor-Owned,"573,956","675,837","7,240,325",9.33
Overton Power District No 5,Publicly Owned,"7,730","8,296","122,497",6.77
Penoyer Valley Electric Coop,Cooperative,59,52,830,6.27
Pioche City of,Publicly Owned,340,315,"5,520",5.71
Plumas-Sierra Rural Elec Coop,Cooperative,299,323,"3,739",8.64
Raft River Rural Elec Coop Inc,Cooperative,"1,581",905,"17,152",5.28
Sierra Pacific Power Co,Investor-Owned,"239,211","196,456","1,856,931",10.58
"Valley Electric Assn, Inc",Cooperative,"13,479","17,210","202,510",8.50
Wells Rural Electric Co,Cooperative,"3,996","3,183","45,958",6.93
 State Total,,"857,619","914,611","9,702,083",9.43
New Hampshire,,,,,
Ashland Town of,Publicly Owned,897,538,"5,390",9.98
Concord Electric Co,Investor-Owned,"23,702","17,828","171,070",10.42
Connecticut Valley Elec Co Inc,Investor-Owned,"9,047","8,272","56,911",14.53
Exeter & Hampton Electric Co,Investor-Owned,"35,570","28,496","286,727",9.94
Granite State Electric Co,Investor-Owned,"32,626","27,913","267,526",10.43
Littleton Town of,Publicly Owned,"2,765","1,473","17,672",8.34
New Hampshire Elec Coop Inc,Cooperative,"62,848","57,137","395,880",14.43
New Hampton Village Precinct,Publicly Owned,122,255,"2,326",10.96
Public Service Co of NH,Investor-Owned,"382,481","325,911","2,765,211",11.79
Wolfeboro Town of,Publicly Owned,"4,138","3,341","29,177",11.45
Woodsville Precinct of,Publicly Owned,785,493,"4,630",10.65
 State Total,,"554,981","471,657","4,002,520",11.78
New Jersey,,,,,
Atlantic City Electric Co,Investor-Owned,"449,437","457,100","4,103,761",11.14
Butler Borough of,Publicly Owned,"9,580","8,886","97,000",9.16
Jersey Central Power & Lt Co,Investor-Owned,"917,745","977,671","8,972,974",10.90
Lavallette Borough of,Publicly Owned,"2,596",740,"11,875",6.23
Madison Borough of,Publicly Owned,"5,554","4,807","47,127",10.20
Milltown Borough of,Publicly Owned,"2,744","2,358","22,109",10.67
Park Ridge Borough of,Publicly Owned,"3,352","2,906","31,806",9.14
Pemberton Borough of,Publicly Owned,532,425,"4,077",10.42
Public Service Elec & Gas Co,Investor-Owned,"1,757,330","1,259,608","12,825,350",9.82
Rockland Electric Co,Investor-Owned,"61,749","65,125","696,176",9.35
Seaside Heights City of,Publicly Owned,"1,972","1,218","10,613",11.48
South River Borough of,Publicly Owned,"6,225","5,502","47,531",11.58
Sussex Rural Electric Coop Inc,Cooperative,"11,072","12,953","116,138",11.15
Vineland City of,Publicly Owned,"15,658","15,937","134,608",11.84
 State Total,,"3,245,546","2,815,236","27,121,145",10.38
New Mexico,,,,,
Aztec City of,Publicly Owned,"2,407","1,248","14,365",8.69
"Central New Mexico El Coop, Inc",Cooperative,"14,631","10,069","92,526",10.88
"Central Valley Elec Coop, Inc",Cooperative,"4,582","2,770","47,864",5.79
"Columbus Electric Coop, Inc",Cooperative,"2,938","1,927","17,361",11.10
Continental Divide El Coop Inc,Cooperative,"19,987","9,085","113,571",8.00
"Duncan Valley Elec Coop, Inc",Cooperative,257,182,"2,085",8.73
El Paso Electric Company,Investor-Owned,"64,701","51,709","471,917",10.96
"Farmers' Electric Coop, Inc",Cooperative,"8,940","5,596","70,640",7.92
Farmington City of,Publicly Owned,"30,610","18,503","210,101",8.81
Gallup City of,Publicly Owned,"8,014","3,539","44,953",7.87
"Jemez Mountains Elec Coop, Inc",Cooperative,"25,831","13,360","151,155",8.84
"Kit Carson Electric Coop, Inc",Cooperative,"21,608","11,081","113,001",9.81
"La Plata Electric Assn, Inc",Cooperative,5,2,22,9.09
"Lea County Electric Coop, Inc",Cooperative,"5,922","3,418","54,384",6.28
Los Alamos County,Publicly Owned,"7,774","4,594","50,167",9.16
"Mora-San Miguel Elec Coop, Inc",Cooperative,"9,719","4,565","45,385",10.06
Navajo Tribal Utility Auth,Publicly Owned,"7,307","2,827","40,633",6.96
"Navopache Electric Coop, Inc",Cooperative,"1,299",549,"6,387",8.60
Northern Rio Arriba E Coop Inc,Cooperative,"3,247","1,611","16,907",9.53
Otero County Electric Coop Inc,Cooperative,"13,360","8,183","73,116",11.19
Public Service Co of NM,Investor-Owned,"342,521","197,739","2,305,731",8.58
Raton Public Service Company,Publicly Owned,"3,671","2,176","23,757",9.16
"Rio Grande Electric Coop, Inc",Cooperative,241,151,"1,263",11.96
Roosevelt County Elec Coop Inc,Cooperative,"3,405","2,278","39,443",5.78
"Sierra Electric Coop, Inc",Cooperative,"3,254","2,074","17,759",11.68
"Socorro Electric Coop, Inc",Cooperative,"10,348","5,648","57,929",9.75
Southwestern Electric Coop Inc,Cooperative,"1,300","1,072","7,858",13.64
Southwestern Public Service Co,Investor-Owned,"84,607","47,123","876,348",5.38
"Springer Electric Coop, Inc",Cooperative,"2,363","1,448","12,711",11.39
Springer Town of,Publicly Owned,702,462,"4,072",11.35
Texas-New Mexico Power Co,Investor-Owned,"40,684","28,762","237,072",12.13
"Tri-County Electric Coop, Inc",Cooperative,1,1,6,16.67
Truth or Consequences City of,Publicly Owned,"3,354","1,604","17,645",9.09
 State Total,,"749,590","445,356","5,238,134",8.50
New York,,,,,
Akron Village of,Publicly Owned,"1,411",542,"16,262",3.33
Andover Village of,Publicly Owned,491,222,"4,771",4.65
Angelica Village of,Publicly Owned,632,265,"5,740",4.62
Arcade Village of,Publicly Owned,"3,382","2,040","60,850",3.35
Bath Electric Gas & Water Sys,Publicly Owned,"3,767","1,587","39,076",4.06
Bergen Village of,Publicly Owned,578,470,"8,108",5.80
Boonville Village of,Publicly Owned,"2,675","1,256","42,284",2.97
Brocton Village of,Publicly Owned,777,314,"9,335",3.36
Castile Village of,Publicly Owned,514,229,"5,394",4.25
Central Hudson Gas & Elec Corp,Investor-Owned,"239,249","187,536","1,882,605",9.96
Churchville Village of,Publicly Owned,775,384,"9,527",4.03
Consolidated Edison Co-NY Inc,Investor-Owned,"2,683,349","2,125,947","12,510,162",16.99
"Delaware County Elec Cooperative, Inc",Cooperative,"4,781","3,621","40,170",9.01
Endicott Village of,Publicly Owned,"2,770",916,"19,955",4.59
Energetix,Power Marketer,"39,939","35,693","345,263",10.34
Fairport Village of,Publicly Owned,"14,570","7,154","230,230",3.11
Fishers Island Utility Co Inc,Investor-Owned,634,799,"3,922",20.37
Frankfort Village of,Publicly Owned,"1,495",651,"13,805",4.72
Freeport Village of,Publicly Owned,"13,015","9,685","115,939",8.35
Green Island Village of,Publicly Owned,"1,325",633,"8,515",7.43
Greene Village of,Publicly Owned,"1,102",586,"15,164",3.86
Greenport Village of,Publicly Owned,"1,645",958,"11,464",8.36
Groton Village of,Publicly Owned,918,494,"13,786",3.58
Hamilton Village of,Publicly Owned,"1,202",664,"19,926",3.33
Holley Village of,Publicly Owned,817,329,"9,800",3.36
Ilion Village of,Publicly Owned,"3,469","1,542","37,861",4.07
Jamestown Board of Public Util,Publicly Owned,"16,876","7,045","153,553",4.59
"Lake Placid Village, Inc",Publicly Owned,"3,562","2,332","63,144",3.69
Little Valley Village of,Publicly Owned,"1,055",594,"11,419",5.20
Long Island Power Authority,Publicly Owned,"936,810","1,181,949","8,489,702",13.92
Marathon Village of,Publicly Owned,669,382,"9,919",3.85
Massena Town of,Publicly Owned,"7,985","4,198","89,575",4.69
Mayville Village of,Publicly Owned,901,845,"14,676",5.76
Mohawk Municipal Comm,Publicly Owned,"1,217",456,"12,789",3.57
New York State Elec & Gas Corp,Investor-Owned,"715,299","682,849","5,544,411",12.32
Niagara Mohawk Power Corp,Investor-Owned,"1,369,959","1,254,200","10,119,984",12.39
"Oneida-Madison Elec Coop, Inc",Cooperative,"1,725","1,480","18,000",8.22
Orange & Rockland Utils Inc,Investor-Owned,"142,212","136,213","1,092,398",12.47
"Otsego Electric Coop, Inc",Cooperative,"3,932","3,242","38,688",8.38
Penn Yan Village of,Publicly Owned,"2,614","1,111","26,193",4.24
Pennsylvania Electric Co,Investor-Owned,"3,338","2,741","29,070",9.43
Philadelphia Village of,Publicly Owned,633,288,"6,550",4.40
Plattsburgh City of,Publicly Owned,"7,814","5,174","142,921",3.62
Richmondville Village of,Publicly Owned,865,475,"10,310",4.61
Rochester Gas and Electric Corporation,Investor-Owned,"281,565","228,753","2,156,036",10.61
Rockville Centre Village of,Publicly Owned,"8,939","6,920","82,164",8.42
Rouses Point Village of,Publicly Owned,"1,086",748,"22,666",3.30
Salamanca City of,Publicly Owned,"2,963","1,378","39,350",3.50
Sherburne Village of,Publicly Owned,"1,619","1,183","26,899",4.40
Sherrill City of,Publicly Owned,813,673,"20,776",3.24
Silver Springs Village of,Publicly Owned,358,162,"3,216",5.04
Skaneateles Village of,Publicly Owned,"1,217",594,"14,200",4.18
Solvay Village of,Publicly Owned,"4,805","1,989","54,773",3.63
Spencerport Village of,Publicly Owned,"2,299","1,293","40,218",3.21
Springville Village of,Publicly Owned,"2,082",886,"22,708",3.90
"Steuben Rural Elec Coop, Inc",Cooperative,"5,788","4,818","53,752",8.96
Theresa Village of,Publicly Owned,401,243,"4,433",5.48
Tupper Lake Village of,Publicly Owned,"3,267","1,645","51,371",3.20
Watkins Glen Village of,Publicly Owned,984,396,"9,484",4.18
Wellsville Village of,Publicly Owned,"2,236",623,"18,359",3.39
Westfield Village of,Publicly Owned,"2,437","1,242","29,454",4.22
 State Total,,"6,565,607","5,923,637","44,003,075",13.46
North Carolina,,,,,
Albemarle City of,Publicly Owned,"9,387","11,125","117,581",9.46
Albemarle Electric Member Corp,Cooperative,"10,069","11,775","147,454",7.99
Apex Town of,Publicly Owned,"9,858","10,681","114,391",9.34
Ayden Town of,Publicly Owned,"3,209","4,207","41,367",10.17
Belhaven Town of,Publicly Owned,909,"1,014","8,703",11.65
Benson Town of,Publicly Owned,"1,392","1,799","17,968",10.01
Black Creek Town of,Publicly Owned,610,689,"7,877",8.75
Blue Ridge Elec Member Corp,Cooperative,"54,964","52,954","554,034",9.56
Blue Ridge Mountain E M C,Cooperative,"11,188","8,795","116,045",7.58
Bostic Town of,Publicly Owned,169,165,"2,209",7.47
"Broad River Electric Coop, Inc",Cooperative,337,427,"4,800",8.90
Brunswick Electric Member Corp,Cooperative,"61,985","75,780","742,624",10.20
