"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
City of Macon,MO,Publicly Owned," 2,481 "," 2,283 "," 28,918 ",7.89
City of Malden,MO,Publicly Owned," 2,057 "," 1,264 "," 24,711 ",5.12
City of Mansfield,MO,Publicly Owned, 591 , 417 ," 5,911 ",7.05
City of Marceline,MO,Publicly Owned," 1,128 "," 1,088 "," 13,093 ",8.31
City of Marshall,MO,Publicly Owned," 4,901 "," 3,306 "," 46,186 ",7.16
City of Meadville,MO,Publicly Owned, 237 , 234 ," 2,934 ",7.98
City of Memphis,MO,Publicly Owned," 1,219 ", 692 ," 7,464 ",9.27
City of Mindenmines,MO,Publicly Owned, 152 , 170 ," 1,807 ",9.41
City of Monett,MO,Publicly Owned," 3,583 "," 2,260 "," 35,944 ",6.29
City of Monroe City,MO,Publicly Owned," 1,145 ", 780 ," 11,883 ",6.56
City of Mount Vernon,MO,Publicly Owned," 1,780 "," 1,132 "," 17,000 ",6.66
City of Mountain View,MO,Publicly Owned," 1,177 ", 989 ," 16,272 ",6.08
City of New Madrid,MO,Publicly Owned," 1,507 ", 977 ," 25,812 ",3.79
City of Newburg,MO,Publicly Owned, 243 , 303 ," 3,338 ",9.08
City of Nixa,MO,Publicly Owned," 5,998 "," 3,188 "," 56,216 ",5.67
City of Odessa,MO,Publicly Owned," 1,894 "," 1,901 "," 22,026 ",8.63
City of Osceola,MO,Publicly Owned, 356 , 243 ," 3,036 ",8.00
City of Owensville,MO,Publicly Owned," 1,180 ", 971 ," 11,260 ",8.62
City of Palmyra,MO,Publicly Owned," 1,597 "," 1,179 "," 14,295 ",8.25
City of Perry,MO,Publicly Owned, 345 , 232 ," 3,834 ",6.05
City of Poplar Bluff,MO,Publicly Owned," 7,812 "," 4,977 "," 110,970 ",4.48
City of Rich Hill,MO,Publicly Owned, 719 , 530 ," 5,498 ",9.64
City of Richland,MO,Publicly Owned, 905 , 631 ," 8,537 ",7.39
City of Rockport,MO,Publicly Owned, 668 , 601 ," 8,104 ",7.42
City of Rolla,MO,Publicly Owned," 6,765 "," 5,058 "," 92,969 ",5.44
City of Salem,MO,Publicly Owned," 2,146 "," 1,419 "," 21,179 ",6.70
City of Salisbury,MO,Publicly Owned, 842 , 603 ," 10,432 ",5.78
City of Shelbina,MO,Publicly Owned, 868 , 691 ," 9,617 ",7.19
City of Sikeston,MO,Publicly Owned," 7,416 "," 5,622 "," 117,683 ",4.78
City of Slater,MO,Publicly Owned, 984 , 639 ," 8,519 ",7.50
City of St James,MO,Publicly Owned," 1,697 "," 1,341 "," 20,194 ",6.64
City of St Robert,MO,Publicly Owned, 990 , 838 ," 14,478 ",5.79
City of Stanberry,MO,Publicly Owned, 627 , 685 ," 7,936 ",8.63
City of Steelville,MO,Publicly Owned, 687 , 472 ," 7,549 ",6.25
City of Sullivan,MO,Publicly Owned," 2,958 "," 2,511 "," 37,000 ",6.79
City of Unionville,MO,Publicly Owned," 1,017 ", 810 ," 11,374 ",7.12
City of Vandalia,MO,Publicly Owned," 1,515 "," 1,188 "," 12,565 ",9.45
City of Waynesville,MO,Publicly Owned," 1,438 "," 1,215 "," 20,383 ",5.96
City of West Plains,MO,Publicly Owned," 4,480 "," 3,260 "," 56,680 ",5.75
City of Willow Springs,MO,Publicly Owned, 876 , 593 ," 7,859 ",7.55
City of Winona,MO,Publicly Owned, 642 , 456 ," 7,707 ",5.92
Clay County Electric Coop Corp,MO,Cooperative, 50 , 47 , 552 ,8.51
Co-Mo Electric Coop Inc,MO,Cooperative," 26,847 "," 23,695 "," 321,655 ",7.37
Consolidated Electric Coop,MO,Cooperative," 7,008 "," 7,701 "," 114,418 ",6.73
"Crawford Electric Coop, Inc",MO,Cooperative," 16,595 "," 16,465 "," 218,534 ",7.53
Cuivre River Electric Coop Inc,MO,Cooperative," 45,278 "," 45,440 "," 734,039 ",6.19
Empire District Electric Co,MO,Investor Owned," 113,472 "," 111,132 "," 1,526,076 ",7.28
"Farmers' Electric Coop, Inc",MO,Cooperative," 11,428 "," 11,236 "," 143,052 ",7.85
Fredericktown City of,MO,Publicly Owned," 1,704 "," 1,105 "," 19,070 ",5.79
Gascosage Electric Coop,MO,Cooperative," 8,510 "," 7,978 "," 119,917 ",6.65
"Grundy Electric Coop, Inc",MO,Cooperative," 5,632 "," 5,233 "," 65,460 ",7.99
Harrisonville City of,MO,Publicly Owned," 3,776 "," 2,653 "," 39,196 ",6.77
Howard Electric Coop,MO,Cooperative," 3,125 "," 3,227 "," 37,658 ",8.57
"Howell-Oregon Elec Coop, Inc",MO,Cooperative," 20,417 "," 18,135 "," 257,946 ",7.03
Independence City of,MO,Publicly Owned," 49,693 "," 39,911 "," 502,843 ",7.94
Intercounty Electric Coop Assn,MO,Cooperative," 28,505 "," 27,930 "," 399,633 ",6.99
Kansas City Power & Light Co,MO,Investor Owned," 234,170 "," 181,175 "," 2,448,487 ",7.40
"Laclede Electric Coop, Inc",MO,Cooperative," 27,661 "," 28,006 "," 413,540 ",6.77
Lewis County Rural E C A,MO,Cooperative," 6,280 "," 5,844 "," 74,130 ",7.88
Lockwood Water & Light Company,MO,Publicly Owned, 466 , 408 ," 4,710 ",8.66
Macon Electric Coop,MO,Cooperative," 10,296 "," 9,609 "," 125,306 ",7.67
Milan City of,MO,Publicly Owned, 804 , 514 ," 7,241 ",7.10
Missouri Rural Electric Coop,MO,Cooperative," 4,388 "," 3,856 "," 54,356 ",7.09
"New-Mac Electric Coop, Inc",MO,Cooperative," 15,469 "," 18,223 "," 229,116 ",7.95
North Central MO Elec Coop Inc,MO,Cooperative," 4,200 "," 4,320 "," 42,290 ",10.22
Osage Valley Elec Coop Assn,MO,Cooperative," 13,884 "," 15,190 "," 215,292 ",7.06
Ozark Border Electric Coop,MO,Cooperative," 30,848 "," 27,277 "," 455,789 ",5.98
Ozark Electric Coop Inc,MO,Cooperative," 25,995 "," 25,674 "," 339,763 ",7.56
Paris City of,MO,Publicly Owned, 611 , 530 ," 6,570 ",8.07
Pemiscot-Dunklin Elec Coop Inc,MO,Cooperative," 4,425 "," 4,842 "," 71,088 ",6.81
"Platte-Clay Electric Coop, Inc",MO,Cooperative," 17,388 "," 21,874 "," 275,580 ",7.94
Ralls County Electric Coop,MO,Cooperative," 4,986 "," 5,405 "," 57,895 ",9.34
Sac-Osage Electric Coop Inc,MO,Cooperative," 9,117 "," 8,846 "," 119,604 ",7.40
SE-MA-NO Electric Coop,MO,Cooperative," 4,964 "," 4,365 "," 65,281 ",6.69
SEMO Electric Cooperative,MO,Cooperative," 10,779 "," 10,496 "," 160,513 ",6.54
Seymour City of,MO,Publicly Owned, 629 , 537 ," 7,387 ",7.27
"Southwest Electric Coop, Inc",MO,Cooperative," 33,070 "," 28,039 "," 419,932 ",6.68
Springfield City of,MO,Publicly Owned," 84,219 "," 48,973 "," 878,728 ",5.57
Thayer City of,MO,Publicly Owned, 742 , 574 ," 7,322 ",7.84
Three Rivers Electric Coop,MO,Cooperative," 18,780 "," 17,696 "," 253,563 ",6.98
Trenton Municipal Utilities,MO,Publicly Owned," 2,703 "," 1,992 "," 30,836 ",6.46
Tri-County Electric Coop Assn,MO,Cooperative," 5,815 "," 5,325 "," 70,765 ",7.52
Union Electric Co,MO,Investor Owned," 1,017,109 "," 859,829 "," 12,354,426 ",6.96
"United Electric Coop, Inc",MO,Cooperative," 8,780 "," 9,621 "," 114,423 ",8.41
Webster Electric Coop,MO,Cooperative," 15,341 "," 13,585 "," 209,689 ",6.48
West Central Electric Coop Inc,MO,Cooperative," 13,094 "," 14,403 "," 211,035 ",6.82
White River Valley El Coop Inc,MO,Cooperative," 32,404 "," 31,362 "," 399,041 ",7.86
Avista Corp,MT,Investor Owned, 9 , 5 , 109 ,4.59
"Beartooth Electric Coop, Inc",MT,Cooperative," 4,633 "," 4,071 "," 47,424 ",8.58
Big Flat Electric Coop Inc,MT,Cooperative," 1,457 "," 1,430 "," 17,237 ",8.30
"Big Horn County Elec Coop, Inc",MT,Cooperative," 2,985 "," 2,764 "," 34,243 ",8.07
Big Horn Rural Electric Co,MT,Cooperative, 34 , 28 , 347 ,8.07
Black Hills Power Inc,MT,Investor Owned, 12 , 5 , 68 ,7.35
City of Troy,MT,Publicly Owned, 761 , 499 ," 9,285 ",5.37
Fall River Rural Elec Coop Inc,MT,Cooperative," 1,283 "," 1,240 "," 13,644 ",9.09
"Fergus Electric Coop, Inc",MT,Cooperative," 5,243 "," 5,009 "," 54,154 ",9.25
Flathead Electric Coop Inc,MT,Cooperative," 45,287 "," 41,003 "," 523,003 ",7.84
"Glacier Electric Coop, Inc",MT,Cooperative," 5,424 "," 5,344 "," 60,438 ",8.84
"Goldenwest Electric Coop, Inc",MT,Cooperative, 622 , 442 ," 4,656 ",9.49
"Grand Electric Coop, Inc",MT,Cooperative, 14 , 8 , 110 ,7.27
"Hill County Electric Coop, Inc",MT,Cooperative," 3,245 "," 3,221 "," 33,802 ",9.53
"Lincoln Electric Coop, Inc",MT,Cooperative," 3,675 "," 2,949 "," 55,021 ",5.36
"Lower Yellowstone R E A, Inc",MT,Cooperative," 1,649 "," 1,683 "," 24,282 ",6.93
Marias River Electric Coop Inc,MT,Cooperative," 2,458 "," 1,492 "," 30,250 ",4.93
McCone Electric Coop Inc,MT,Cooperative," 4,281 "," 3,684 "," 39,219 ",9.39
McKenzie Electric Coop Inc,MT,Cooperative, 112 , 42 , 538 ,7.81
MDU Resources Group Inc,MT,Investor Owned," 18,602 "," 11,361 "," 155,158 ",7.32
"Mid-Yellowstone Elec Coop, Inc",MT,Cooperative," 1,709 "," 1,628 "," 20,399 ",7.98
Mission Valley Power,MT,Federal," 13,036 "," 9,522 "," 181,671 ",5.24
"Missoula Electric Coop, Inc",MT,Cooperative," 11,106 "," 8,623 "," 127,260 ",6.78
"Northern Electric Coop, Inc",MT,Cooperative, 947 ," 1,227 "," 15,412 ",7.96
"Northern Lights, Inc",MT,Cooperative," 3,103 "," 2,815 "," 33,157 ",8.49
NorthWestern Energy LLC,MT,Investor Owned," 244,437 "," 161,612 "," 2,087,715 ",7.74
Park Electric Coop Inc,MT,Cooperative," 4,695 "," 4,746 "," 57,206 ",8.30
Powder River Energy Corp,MT,Cooperative, 90 , 40 , 589 ,6.79
"Ravalli County Elec Coop, Inc",MT,Cooperative," 8,361 "," 7,320 "," 108,106 ",6.77
"Sheridan Electric Coop, Inc",MT,Cooperative," 2,462 "," 1,989 "," 28,247 ",7.04
"Southeast Electric Coop, Inc",MT,Cooperative," 1,894 "," 1,169 "," 14,250 ",8.20
"Sun River Electric Coop, Inc",MT,Cooperative," 3,758 "," 3,648 "," 43,486 ",8.39
Tongue River Electric Coop Inc,MT,Cooperative," 3,992 "," 3,585 "," 51,760 ",6.93
"Valley Electric Coop, Inc",MT,Cooperative, 964 ," 1,211 "," 14,569 ",8.31
"Vigilante Electric Coop, Inc",MT,Cooperative," 6,601 "," 4,877 "," 76,468 ",6.38
Yellowstone Valley Elec Co-op,MT,Cooperative," 12,957 "," 11,014 "," 156,301 ",7.05
Auburn Board of Public Works,NE,Publicly Owned," 2,195 "," 1,313 "," 25,261 ",5.20
Beatrice City of,NE,Publicly Owned," 5,844 "," 4,151 "," 64,813 ",6.40
Burt County Public Power Dist,NE,Publicly Owned," 3,367 "," 3,971 "," 49,085 ",8.09
Butler County Rural P P D,NE,Publicly Owned," 4,734 "," 4,414 "," 62,969 ",7.01
Cedar-Knox Public Power Dist,NE,Publicly Owned," 5,386 "," 5,453 "," 88,750 ",6.14
"Cherry-Todd Electric Coop, Inc",NE,Cooperative, 321 , 425 ," 6,782 ",6.27
Chimney Rock Public Power Dist,NE,Publicly Owned," 1,858 "," 1,871 "," 22,378 ",8.36
City of Alliance,NE,Publicly Owned," 4,151 "," 2,594 "," 35,443 ",7.32
City of Ansley,NE,Publicly Owned, 271 , 166 ," 2,191 ",7.58
City of Arapahoe,NE,Publicly Owned, 505 , 451 ," 4,511 ",10.00
City of Battle Creek,NE,Publicly Owned, 472 , 448 ," 5,968 ",7.51
City of Bayard,NE,Publicly Owned, 530 , 332 ," 4,609 ",7.20
City of Beaver City,NE,Publicly Owned, 350 , 421 ," 4,230 ",9.95
City of Benkelman,NE,Publicly Owned, 474 , 324 ," 4,312 ",7.51
City of Blue Hill,NE,Publicly Owned, 349 , 241 ," 3,920 ",6.15
City of Bridgeport Utilities,NE,Publicly Owned, 732 , 418 ," 7,191 ",5.81
City of Broken Bow,NE,Publicly Owned," 1,813 "," 1,025 "," 19,949 ",5.14
City of Burwell,NE,Publicly Owned, 580 , 358 ," 5,730 ",6.25
City of Cambridge,NE,Publicly Owned, 503 , 401 ," 4,787 ",8.38
City of Central City,NE,Publicly Owned," 1,449 "," 1,091 "," 15,123 ",7.21
City of Chappell,NE,Publicly Owned, 555 , 262 ," 5,250 ",4.99
City of Crete,NE,Publicly Owned," 2,271 "," 1,156 "," 24,218 ",4.77
City of Curtis,NE,Publicly Owned, 513 , 384 ," 5,479 ",7.01
City of David City,NE,Publicly Owned," 1,154 ", 872 ," 13,171 ",6.62
City of Deshler,NE,Publicly Owned, 387 , 305 ," 4,284 ",7.12
City of Edgar,NE,Publicly Owned, 255 , 216 ," 2,934 ",7.36
City of Emerson,NE,Publicly Owned, 347 , 239 ," 3,442 ",6.94
City of Fairbury,NE,Publicly Owned," 2,771 "," 1,960 "," 33,140 ",5.91
City of Falls City,NE,Publicly Owned," 2,227 "," 1,278 "," 22,205 ",5.76
City of Franklin,NE,Publicly Owned, 581 , 378 ," 4,284 ",8.82
City of Friend,NE,Publicly Owned, 512 , 418 ," 5,000 ",8.36
City of Gering,NE,Publicly Owned," 3,257 "," 2,159 "," 28,732 ",7.51
City of Giltner,NE,Publicly Owned, 169 , 152 ," 2,089 ",7.28
City of Gothenburg,NE,Publicly Owned," 1,465 ", 911 ," 16,542 ",5.51
City of Grant,NE,Publicly Owned, 608 , 463 ," 7,000 ",6.61
City of Hebron,NE,Publicly Owned, 766 , 600 ," 8,579 ",6.99
City of Hickman,NE,Publicly Owned, 457 , 447 ," 6,045 ",7.39
City of Holdrege,NE,Publicly Owned," 2,551 "," 1,609 "," 25,927 ",6.21
City of Hubbell,NE,Publicly Owned, 34 , 27 , 365 ,7.40
City of Imperial,NE,Publicly Owned," 1,057 ", 643 ," 10,931 ",5.88
City of Indianola,NE,Publicly Owned, 340 , 271 ," 2,800 ",9.68
City of Kimball,NE,Publicly Owned," 1,262 ", 670 ," 9,643 ",6.95
City of Laurel,NE,Publicly Owned, 460 , 313 ," 4,783 ",6.54
City of Lodgepole,NE,Publicly Owned, 186 , 118 ," 1,349 ",8.75
City of Lyons,NE,Publicly Owned, 445 , 310 ," 4,183 ",7.41
City of Nebraska City,NE,Publicly Owned," 4,643 "," 3,446 "," 50,301 ",6.85
City of Neligh,NE,Publicly Owned, 750 , 690 ," 8,646 ",7.98
City of Nelson,NE,Publicly Owned, 284 , 235 ," 2,875 ",8.17
City of North Platte,NE,Publicly Owned," 10,626 "," 7,032 "," 104,076 ",6.76
City of Ord,NE,Publicly Owned," 1,122 ", 765 ," 14,782 ",5.18
City of Pender,NE,Publicly Owned, 516 , 310 ," 5,148 ",6.02
City of Pierce,NE,Publicly Owned, 992 ," 1,032 "," 17,200 ",6.00
City of Plainview,NE,Publicly Owned, 671 , 440 ," 5,687 ",7.74
City of Randolph,NE,Publicly Owned, 469 , 333 ," 3,933 ",8.47
City of Red Cloud,NE,Publicly Owned, 605 , 429 ," 4,841 ",8.86
City of Schuyler,NE,Publicly Owned," 2,082 "," 1,603 "," 27,685 ",5.79
City of Seward,NE,Publicly Owned," 2,600 "," 1,860 "," 28,111 ",6.62
City of Sidney,NE,Publicly Owned," 3,609 "," 1,531 "," 19,429 ",7.88
City of Snyder,NE,Publicly Owned, 156 , 135 ," 2,043 ",6.61
City of South Sioux City,NE,Publicly Owned," 4,667 "," 3,154 "," 40,911 ",7.71
City of Spencer,NE,Publicly Owned, 272 , 243 ," 4,092 ",5.94
City of St Paul,NE,Publicly Owned," 1,060 ", 771 ," 9,591 ",8.04
City of Stratton,NE,Publicly Owned, 213 , 190 ," 2,041 ",9.31
City of Stromsburg,NE,Publicly Owned, 500 , 392 ," 5,600 ",7.00
City of Stuart,NE,Publicly Owned, 277 , 282 ," 3,120 ",9.04
City of Superior,NE,Publicly Owned," 1,102 ", 753 ," 9,350 ",8.05
City of Sutton,NE,Publicly Owned, 701 , 534 ," 6,999 ",7.63
City of Syracuse,NE,Publicly Owned, 992 , 597 ," 8,645 ",6.91
City of Tecumseh,NE,Publicly Owned, 851 , 530 ," 8,130 ",6.52
City of Trenton,NE,Publicly Owned, 335 , 232 ," 2,671 ",8.69
City of Valentine,NE,Publicly Owned," 1,377 "," 1,292 "," 24,608 ",5.25
City of Wakefield,NE,Publicly Owned, 545 , 307 ," 4,918 ",6.24
City of Wayne,NE,Publicly Owned," 1,977 "," 1,404 "," 17,286 ",8.12
City of West Point,NE,Publicly Owned," 1,487 ", 808 ," 14,467 ",5.59
City of Wilber,NE,Publicly Owned, 806 , 505 ," 8,626 ",5.85
City of Wisner,NE,Publicly Owned, 625 , 482 ," 7,950 ",6.06
City of Wood River,NE,Publicly Owned, 446 , 381 ," 5,541 ",6.88
City of Wymore,NE,Publicly Owned, 745 , 526 ," 7,250 ",7.26
Clarkson City of,NE,Publicly Owned, 332 , 239 ," 4,322 ",5.53
Cornhusker Public Power Dist,NE,Publicly Owned," 6,618 "," 8,385 "," 120,198 ",6.98
Cozad Board of Public Works,NE,Publicly Owned," 1,774 "," 1,269 "," 17,615 ",7.20
Cuming County Public Pwr Dist,NE,Publicly Owned," 3,290 "," 3,906 "," 61,000 ",6.40
Custer Public Power District,NE,Publicly Owned," 4,359 "," 4,751 "," 65,570 ",7.25
Dawson County Public Pwr Dist,NE,Publicly Owned," 14,708 "," 13,039 "," 208,952 ",6.24
Elkhorn Rural Public Pwr Dist,NE,Publicly Owned," 8,040 "," 10,628 "," 146,187 ",7.27
Fairmont Village of,NE,Publicly Owned, 283 , 203 ," 2,670 ",7.60
Fremont City of,NE,Publicly Owned," 11,689 "," 6,348 "," 129,970 ",4.88
Grand Island City of,NE,Publicly Owned," 18,961 "," 10,719 "," 183,053 ",5.86
Hastings City of,NE,Publicly Owned," 10,377 "," 6,459 "," 97,673 ",6.61
"High West Energy, Inc",NE,Cooperative," 1,681 "," 1,282 "," 16,535 ",7.75
Highline Electric Assn,NE,Cooperative, 757 , 598 ," 7,837 ",7.63
Howard Greeley Rural P P D,NE,Publicly Owned," 3,464 "," 3,113 "," 46,816 ",6.65
KBR Rural Public Power District,NE,Publicly Owned," 3,110 "," 2,763 "," 31,600 ",8.74
"LaCreek Electric Assn, Inc",NE,Cooperative, 153 , 134 ," 1,988 ",6.74
Lexington City of,NE,Publicly Owned," 3,311 "," 2,537 "," 41,066 ",6.18
Lincoln Electric System,NE,Publicly Owned," 102,620 "," 64,977 "," 1,035,802 ",6.27
Loup River Public Power Dist,NE,Publicly Owned," 14,058 "," 11,813 "," 215,800 ",5.47
Loup Valleys Rural P P D,NE,Publicly Owned," 2,374 "," 2,166 "," 35,558 ",6.09
Madison City of,NE,Publicly Owned, 828 , 600 ," 9,288 ",6.46
McCook Public Power District,NE,Publicly Owned," 3,416 "," 2,732 "," 31,457 ",8.68
Midwest Electric Member Corp,NE,Cooperative," 3,068 "," 2,713 "," 33,000 ",8.22
Minden City of,NE,Publicly Owned," 1,280 "," 1,148 "," 13,708 ",8.37
Mitchell City of,NE,Publicly Owned, 758 , 525 ," 7,919 ",6.63
Nebraska Public Power District,NE,Publicly Owned," 68,286 "," 69,975 "," 762,258 ",9.18
"Niobrara Electric Assn, Inc",NE,Cooperative, 481 , 431 ," 4,365 ",9.87
Niobrara Valley El Member Corp,NE,Cooperative," 4,443 "," 3,616 "," 47,848 ",7.56
Norris Public Power District,NE,Publicly Owned," 13,027 "," 15,634 "," 229,484 ",6.81
North Central Public Pwr Dist,NE,Publicly Owned," 3,572 "," 3,149 "," 43,547 ",7.23
Northeast Nebraska P P D,NE,Publicly Owned," 7,229 "," 8,323 "," 127,377 ",6.53
Northwest Rural Pub Pwr Dist,NE,Publicly Owned," 1,567 "," 1,972 "," 21,574 ",9.14
Omaha Public Power District,NE,Publicly Owned," 270,579 "," 209,033 "," 3,106,036 ",6.73
Panhandle Rural El Member Assn,NE,Cooperative," 1,826 "," 2,183 "," 29,222 ",7.47
Perennial Public Power Dist,NE,Publicly Owned," 4,571 "," 5,936 "," 84,588 ",7.02
Polk County Rural Pub Pwr Dist,NE,Publicly Owned," 2,884 "," 3,224 "," 40,864 ",7.89
Reynolds Village of,NE,Publicly Owned, 60 , 24 , 413 ,5.81
Roosevelt Public Power Dist,NE,Publicly Owned," 1,861 "," 2,005 "," 29,201 ",6.87
Sargent City of,NE,Publicly Owned, 350 , 189 ," 2,568 ",7.36
Scribner City of,NE,Publicly Owned, 434 , 395 ," 4,963 ",7.96
Seward County Rrl Pub Pwr Dist,NE,Publicly Owned," 2,989 "," 3,587 "," 50,308 ",7.13
South Central Public Pwr Dist,NE,Publicly Owned," 3,782 "," 3,793 "," 61,798 ",6.14
Southern Public Power District,NE,Publicly Owned," 14,809 "," 13,890 "," 224,065 ",6.20
Southwest Public Power Dist,NE,Publicly Owned," 2,277 "," 2,263 "," 33,759 ",6.70
Stanton County Public Pwr Dist,NE,Publicly Owned," 2,209 "," 2,251 "," 29,028 ",7.75
Twin Valleys Public Power Dist,NE,Publicly Owned," 4,192 "," 3,140 "," 35,722 ",8.79
Village of Arnold,NE,Publicly Owned, 360 , 225 ," 3,987 ",5.64
Village of Bartley,NE,Publicly Owned, 189 , 202 ," 2,136 ",9.46
Village of Bradshaw,NE,Publicly Owned, 159 , 102 ," 1,440 ",7.08
Village of Brainard,NE,Publicly Owned, 221 , 148 ," 2,627 ",5.63
Village of Callaway,NE,Publicly Owned, 325 , 265 ," 4,014 ",6.60
Village of Campbell,NE,Publicly Owned, 187 , 125 ," 1,597 ",7.83
Village of Chester,NE,Publicly Owned, 153 , 102 ," 1,259 ",8.10
Village of Davenport,NE,Publicly Owned, 173 , 125 ," 1,673 ",7.47
Village of De Witt,NE,Publicly Owned, 273 , 237 ," 3,578 ",6.62
Village of Decatur,NE,Publicly Owned, 322 , 273 ," 2,279 ",11.98
Village of Dorchester,NE,Publicly Owned, 282 , 226 ," 3,153 ",7.17
Village of Elk Creek,NE,Publicly Owned, 62 , 42 , 600 ,7.00
Village of Endicott,NE,Publicly Owned, 79 , 44 , 754 ,5.84
Village of Greenwood,NE,Publicly Owned, 255 , 180 ," 2,591 ",6.95
Village of Hampton,NE,Publicly Owned, 198 , 153 ," 2,291 ",6.68
Village of Hemingford,NE,Publicly Owned, 388 , 285 ," 3,607 ",7.90
Village of Hildreth,NE,Publicly Owned, 245 , 149 ," 2,993 ",4.98
Village of Holbrook,NE,Publicly Owned, 168 , 164 ," 1,529 ",10.73
Village of Leigh,NE,Publicly Owned, 301 , 365 ," 5,239 ",6.97
Village of Lyman,NE,Publicly Owned, 175 , 103 ," 1,493 ",6.90
Village of Morrill,NE,Publicly Owned, 698 , 445 ," 6,928 ",6.42
Village of Mullen,NE,Publicly Owned, 310 , 214 ," 3,294 ",6.50
Village of Oxford,NE,Publicly Owned, 414 , 248 ," 3,992 ",6.21
Village of Panama,NE,Publicly Owned, 106 , 98 ," 1,526 ",6.42
Village of Polk,NE,Publicly Owned, 203 , 147 ," 1,518 ",9.68
Village of Prague,NE,Publicly Owned, 164 , 151 ," 2,214 ",6.82
Village of Shickley,NE,Publicly Owned, 190 , 159 ," 2,038 ",7.80
Village of Spalding,NE,Publicly Owned, 291 , 218 ," 4,592 ",4.75
Village of Talmage,NE,Publicly Owned, 128 , 101 ," 1,420 ",7.11
Village of Walthill,NE,Publicly Owned, 277 , 208 ," 2,802 ",7.42
Village of Wauneta,NE,Publicly Owned, 340 , 259 ," 4,230 ",6.12
Village of Wilcox,NE,Publicly Owned, 174 , 145 ," 2,058 ",7.05
Village of Winside,NE,Publicly Owned, 273 , 206 ," 3,088 ",6.67
Wahoo City of,NE,Publicly Owned," 1,748 "," 1,106 "," 18,551 ",5.96
Wheat Belt Public Power Dist,NE,Publicly Owned," 3,397 "," 3,002 "," 31,132 ",9.64
Wyrulec Company,NE,Cooperative, 258 , 224 ," 2,494 ",8.98
Alamo Power District No 3,NV,Publicly Owned, 541 , 486 ," 6,859 ",7.09
Boulder City City of,NV,Publicly Owned," 6,599 "," 4,849 "," 107,650 ",4.50
Caliente City of,NV,Publicly Owned, 641 , 298 ," 4,939 ",6.03
City of Fallon,NV,Publicly Owned," 3,585 "," 2,459 "," 21,640 ",11.36
City of Pioche,NV,Publicly Owned, 300 , 320 ," 5,320 ",6.02
"Harney Electric Coop, Inc",NV,Cooperative, 664 , 549 ," 10,465 ",5.25
Lincoln County Power Dist No 1,NV,Publicly Owned, 671 , 359 ," 8,777 ",4.09
"Mt Wheeler Power, Inc",NV,Cooperative," 4,572 "," 3,696 "," 49,325 ",7.49
Nevada Power Company,NV,Investor Owned," 601,841 "," 684,331 "," 7,765,112 ",8.81
Overton Power District No 5,NV,Publicly Owned," 8,353 "," 8,462 "," 123,055 ",6.88
Penoyer Valley Electric Coop,NV,Cooperative, 60 , 59 ," 1,020 ",5.78
Plumas-Sierra Rural Elec Coop,NV,Cooperative, 310 , 327 ," 3,760 ",8.70
Raft River Rural Elec Coop Inc,NV,Cooperative, 384 ," 1,030 "," 16,682 ",6.17
Sierra Pacific Power Co,NV,Investor Owned," 244,804 "," 203,029 "," 1,953,357 ",10.39
"Valley Electric Assn, Inc",NV,Cooperative," 14,100 "," 18,238 "," 218,685 ",8.34
Wells Rural Electric Co,NV,Cooperative," 3,992 "," 3,724 "," 43,289 ",8.60
Connecticut Valley Elec Co Inc,NH,Investor Owned," 9,155 "," 8,358 "," 59,615 ",14.02
Granite State Electric Co,NH,Investor Owned," 33,023 "," 30,446 "," 283,141 ",10.75
New Hampshire Elec Coop Inc,NH,Cooperative," 64,067 "," 59,845 "," 426,274 ",14.04
New Hampton Village Precinct,NH,Publicly Owned, 122 , 232 ," 2,346 ",9.89
Precinct of Woodsville,NH,Publicly Owned, 792 , 519 ," 5,173 ",10.03
Public Service Co of NH,NH,Investor Owned," 388,133 "," 351,622 "," 2,943,769 ",11.94
Town of Ashland,NH,Publicly Owned, 899 , 523 ," 5,000 ",10.46
Town of Littleton,NH,Publicly Owned," 2,784 "," 1,352 "," 18,496 ",7.31
Town of Wolfeboro,NH,Publicly Owned," 4,191 "," 3,649 "," 31,799 ",11.48
Unitil Energy Systems,NH,Investor Owned," 60,217 "," 52,886 "," 476,221 ",11.11
Atlantic City Electric Co,NJ,Investor Owned," 454,999 "," 472,094 "," 4,207,502 ",11.22
Borough of Butler,NJ,Publicly Owned," 10,124 "," 9,690 "," 91,070 ",10.64
Borough of Lavallette,NJ,Publicly Owned," 2,598 ", 752 ," 12,053 ",6.24
Borough of Madison,NJ,Publicly Owned," 5,568 "," 6,967 "," 66,340 ",10.50
Borough of Milltown,NJ,Publicly Owned," 2,767 "," 2,312 "," 18,591 ",12.44
Borough of Park Ridge,NJ,Publicly Owned," 3,353 "," 2,920 "," 31,913 ",9.15
Borough of Pemberton,NJ,Publicly Owned, 545 , 460 ," 4,292 ",10.72
Borough of South River,NJ,Publicly Owned," 6,230 "," 5,087 "," 44,123 ",11.53
Jersey Central Power & Lt Co,NJ,Investor Owned," 870,791 "," 941,361 "," 8,681,223 ",10.84
